Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:     INT_LIT | Next lexeme is 10
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 5
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 2
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 8
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 4
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 3
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 5
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 7
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      ADD_OP | Next lexeme is +
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:     INT_LIT | Next lexeme is 15
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 3
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 2
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 1
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 6
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 12
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 2
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 9
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 8
Next token is:      SUB_OP | Next lexeme is -
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:     INT_LIT | Next lexeme is 20
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 10
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 2
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 5
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 3
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 7
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 4
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 2
Next token is:      ADD_OP | Next lexeme is +
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:     INT_LIT | Next lexeme is 25
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 6
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 3
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 2
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 9
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 15
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 3
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 11
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 7
Next token is:      ADD_OP | Next lexeme is +
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:  LEFT_PAREN | Next lexeme is (
Next token is:     INT_LIT | Next lexeme is 30
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 15
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 3
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      ADD_OP | Next lexeme is +
Next token is:     INT_LIT | Next lexeme is 4
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:     MULT_OP | Next lexeme is *
Next token is:     INT_LIT | Next lexeme is 5
Next token is:      SUB_OP | Next lexeme is -
Next token is:     INT_LIT | Next lexeme is 10
Next token is: RIGHT_PAREN | Next lexeme is )
Next token is:      DIV_OP | Next lexeme is /
Next token is:     INT_LIT | Next lexeme is 2
